,Protein ID,Gene names
191,P01782,IGHV3-9
192,P01833,PIGR
193,P01834,IGKC
194,P02042,HBD
195,P02533,KRT14
196,P02538,KRT6A
197,P02545,LMNA
198,P02647,APOA1
199,P02649,APOE
200,P02671,FGA
201,P02675,FGB
202,P02679,FGG
203,P02730,SLC4A1
204,P02741,CRP
205,P02743,APCS
206,P02745,C1QA
207,P02747,C1QC
208,P02748,C9
209,P02749,APOH
210,P02750,LRG1
211,P02751,FN1
212,P02753,RBP4
213,P02760,AMBP
214,P02763,ORM1
215,P02765,AHSG
216,P02766,TTR
217,P02768,ALB
218,P02774,GC
219,P02775,PPBP
220,P02776,PF4
221,P02786,TFRC
222,P02787,TF
223,P02790,HPX
224,P03951,F11
225,P04003,C4BPA
226,P04004,VTN
227,P04040,CAT
228,P04066,FUCA1
229,P04080,CSTB
230,P04114,APOB
231,P04180,LCAT
232,P04196,HRG
233,P04217,A1BG
234,P04217-2,A1BG
235,P04259,KRT6B
236,P04264,KRT1
237,P04275,VWF
238,P04406,GAPDH
239,P04745,AMY1A
240,P04746,AMY2A
241,P05062,ALDOB
242,P05109,S100A8
243,P05154,SERPINA5
244,P05155,SERPING1
245,P05160,F13B
246,P05362,ICAM1
247,P05534,HLA-A
248,P05543,SERPINA7
249,P05546,SERPIND1
250,P05556,ITGB1
251,P06276,BCHE
252,P06312,IGKV4-1
253,P06396,GSN
254,P06396-2,GSN
255,P06681,C2
256,P06702,S100A9
257,P06727,APOA4
258,P06732,CKM
259,P06733,ENO1
260,P07195,LDHB
261,P07225,PROS1
262,P07237,P4HB
263,P07355,ANXA2
264,P07357,C8A
265,P07360,C8G
266,P07437,TUBB
267,P07686,HEXB
268,P07737,PFN1
269,P07858,CTSB
270,P07900,HSP90AA1
271,P07951,TPM2
272,P07996,THBS1
273,P08185,SERPINA6
274,P08238,HSP90AB1
275,P08253,MMP2
276,P08294,SOD3
277,P08519,LPA
278,P08567,PLEK
279,P08571,CD14
280,P08603,CFH
281,P08670,VIM
282,P08697,SERPINF2
283,P08779,KRT16
284,P09172,DBH
285,P09467,FBP1
286,P09871,C1S
287,P09960,LTA4H
288,P0C0L4,C4A
289,P0C0L5,C4B
290,P0DJI8,SAA1
291,P0DJI9,SAA2
292,P0DOY2,IGLC2
293,P10124,SRGN
294,P10451,SPP1
295,P10643,C7
296,P10645,CHGA
297,P10809,HSPD1
298,P10909,CLU
299,P11021,HSPA5
300,P11047,LAMC1
301,P11226,MBL2
302,P11279,LAMP1
303,P11597,CETP
304,P11717,IGF2R
