,Protein ID,plasma,type_x,liver,type_y,Gene name,Genename_ProteinID
0,Q99969,2.06,plasma,4.69,liver,RARRES2,RARRES2__Q99969
1,P98160,2.08,plasma,5.59,liver,HSPG2,HSPG2__P98160
2,P98160,2.17,plasma,5.66,liver,HSPG2,HSPG2__P98160
3,Q99969,2.19,plasma,4.32,liver,RARRES2,RARRES2__Q99969
4,Q9NSD9,2.31,plasma,4.98,liver,FARSB,FARSB__Q9NSD9
5,P35527,2.32,plasma,5.18,liver,KRT9,KRT9__P35527
6,Q99969,2.32,plasma,4.55,liver,RARRES2,RARRES2__Q99969
7,P98160,2.33,plasma,5.55,liver,HSPG2,HSPG2__P98160
8,Q9NSD9,2.35,plasma,5.12,liver,FARSB,FARSB__Q9NSD9
9,P98160,2.35,plasma,5.47,liver,HSPG2,HSPG2__P98160
10,Q99969,2.46,plasma,4.61,liver,RARRES2,RARRES2__Q99969
11,Q99969,2.47,plasma,4.66,liver,RARRES2,RARRES2__Q99969
12,Q99969,2.47,plasma,4.67,liver,RARRES2,RARRES2__Q99969
13,P98160,2.48,plasma,5.75,liver,HSPG2,HSPG2__P98160
14,Q99969,2.5,plasma,4.26,liver,RARRES2,RARRES2__Q99969
15,P98160,2.5,plasma,5.57,liver,HSPG2,HSPG2__P98160
16,Q99969,2.51,plasma,4.66,liver,RARRES2,RARRES2__Q99969
17,Q99969,2.51,plasma,4.75,liver,RARRES2,RARRES2__Q99969
18,P98160,2.52,plasma,5.5,liver,HSPG2,HSPG2__P98160
19,Q99969,2.52,plasma,4.86,liver,RARRES2,RARRES2__Q99969
20,Q99969,2.53,plasma,4.48,liver,RARRES2,RARRES2__Q99969
21,P98160,2.54,plasma,5.61,liver,HSPG2,HSPG2__P98160
22,P07900,2.55,plasma,6.57,liver,HSP90AA1,HSP90AA1__P07900
23,O95497,2.57,plasma,4.23,liver,VNN1,VNN1__O95497
24,P98160,2.57,plasma,5.65,liver,HSPG2,HSPG2__P98160
25,P16930,2.59,plasma,6.0,liver,FAH,FAH__P16930
26,Q99969,2.61,plasma,4.62,liver,RARRES2,RARRES2__Q99969
27,Q99969,2.63,plasma,4.81,liver,RARRES2,RARRES2__Q99969
28,Q6P387,2.64,plasma,4.16,liver,C16orf46,C16orf46__Q6P387
29,P98160,2.64,plasma,5.76,liver,HSPG2,HSPG2__P98160
30,P98160,2.65,plasma,5.55,liver,HSPG2,HSPG2__P98160
31,P35527,2.68,plasma,4.82,liver,KRT9,KRT9__P35527
32,Q6P387,2.7,plasma,4.09,liver,C16orf46,C16orf46__Q6P387
33,P98160,2.71,plasma,5.55,liver,HSPG2,HSPG2__P98160
34,Q99969,2.71,plasma,4.75,liver,RARRES2,RARRES2__Q99969
35,P19971,2.73,plasma,5.88,liver,P19971,P19971__P19971
36,P98160,2.73,plasma,5.62,liver,HSPG2,HSPG2__P98160
37,Q6P387,2.74,plasma,4.11,liver,C16orf46,C16orf46__Q6P387
38,Q14697-2,2.75,plasma,6.56,liver,Q14697-2,Q14697-2__Q14697-2
39,P98160,2.76,plasma,5.59,liver,HSPG2,HSPG2__P98160
40,Q6P387,2.76,plasma,4.32,liver,C16orf46,C16orf46__Q6P387
41,P12814,2.78,plasma,5.98,liver,ACTN1,ACTN1__P12814
42,P98160,2.79,plasma,5.62,liver,HSPG2,HSPG2__P98160
43,Q6P387,2.8,plasma,4.2,liver,C16orf46,C16orf46__Q6P387
44,P98160,2.81,plasma,5.65,liver,HSPG2,HSPG2__P98160
45,P12814,2.81,plasma,6.0,liver,ACTN1,ACTN1__P12814
46,A0A1W2PQB1,2.81,plasma,4.86,liver,A0A1W2PQB1,A0A1W2PQB1__A0A1W2PQB1
47,Q6P387,2.82,plasma,4.32,liver,C16orf46,C16orf46__Q6P387
48,Q6P387,2.83,plasma,4.13,liver,C16orf46,C16orf46__Q6P387
49,P04040,2.83,plasma,7.01,liver,CAT,CAT__P04040
50,Q14697-2,2.83,plasma,6.52,liver,Q14697-2,Q14697-2__Q14697-2
51,Q6P387,2.84,plasma,4.32,liver,C16orf46,C16orf46__Q6P387
52,P30041,2.84,plasma,7.16,liver,PRDX6,PRDX6__P30041
53,Q6P387,2.84,plasma,4.25,liver,C16orf46,C16orf46__Q6P387
54,P07900,2.84,plasma,6.6,liver,HSP90AA1,HSP90AA1__P07900
55,P55290,2.84,plasma,4.2,liver,CDH13,CDH13__P55290
56,P04040,2.85,plasma,7.34,liver,CAT,CAT__P04040
57,Q6P387,2.86,plasma,4.29,liver,C16orf46,C16orf46__Q6P387
58,P21333-2,2.88,plasma,6.09,liver,P21333-2,P21333-2__P21333-2
59,P13639,2.88,plasma,6.67,liver,EEF2,EEF2__P13639
60,A0A0C4DG49,2.88,plasma,4.42,liver,A0A0C4DG49,A0A0C4DG49__A0A0C4DG49
61,Q6P387,2.9,plasma,4.35,liver,C16orf46,C16orf46__Q6P387
62,Q6P387,2.9,plasma,4.03,liver,C16orf46,C16orf46__Q6P387
63,Q6P387,2.9,plasma,4.25,liver,C16orf46,C16orf46__Q6P387
64,P14625,2.9,plasma,7.05,liver,HSP90B1,HSP90B1__P14625
65,Q6P387,2.91,plasma,4.0,liver,C16orf46,C16orf46__Q6P387
66,P60174,2.91,plasma,6.76,liver,TPI1,TPI1__P60174
67,P19971,2.91,plasma,5.9,liver,P19971,P19971__P19971
68,Q6P387,2.91,plasma,4.21,liver,C16orf46,C16orf46__Q6P387
69,P05387,2.92,plasma,5.77,liver,RPLP2,RPLP2__P05387
70,Q6P387,2.92,plasma,4.34,liver,C16orf46,C16orf46__Q6P387
71,Q86UX7,2.92,plasma,5.39,liver,FERMT3,FERMT3__Q86UX7
72,P30041,2.92,plasma,6.9,liver,PRDX6,PRDX6__P30041
73,P11279,2.93,plasma,5.29,liver,LAMP1,LAMP1__P11279
74,Q6P179,2.93,plasma,4.34,liver,ERAP2,ERAP2__Q6P179
75,A0A0C4DG49,2.94,plasma,4.04,liver,A0A0C4DG49,A0A0C4DG49__A0A0C4DG49
76,Q6P387,2.94,plasma,4.42,liver,C16orf46,C16orf46__Q6P387
77,Q6P387,2.94,plasma,4.22,liver,C16orf46,C16orf46__Q6P387
78,Q6P387,2.94,plasma,4.4,liver,C16orf46,C16orf46__Q6P387
79,P30041,2.95,plasma,7.04,liver,PRDX6,PRDX6__P30041
80,P30041,2.95,plasma,7.11,liver,PRDX6,PRDX6__P30041
81,Q99969,2.96,plasma,4.55,liver,RARRES2,RARRES2__Q99969
82,P68363,2.96,plasma,6.57,liver,TUBA1B,TUBA1B__P68363
83,P43121,2.96,plasma,4.55,liver,MCAM,MCAM__P43121
84,P04040,2.96,plasma,7.17,liver,CAT,CAT__P04040
85,P04040,2.98,plasma,7.33,liver,CAT,CAT__P04040
86,P98160,2.98,plasma,5.93,liver,HSPG2,HSPG2__P98160
87,P23141,2.98,plasma,7.33,liver,CES1,CES1__P23141
88,P39060,2.99,plasma,5.82,liver,COL18A1,COL18A1__P39060
89,Q99460,3.0,plasma,5.29,liver,Q99460,Q99460__Q99460
90,P11279,3.0,plasma,5.52,liver,LAMP1,LAMP1__P11279
91,Q15113,3.0,plasma,4.11,liver,PCOLCE,PCOLCE__Q15113
92,Q99969,3.0,plasma,4.62,liver,RARRES2,RARRES2__Q99969
93,P30101,3.0,plasma,6.58,liver,PDIA3,PDIA3__P30101
94,P04040,3.01,plasma,7.13,liver,CAT,CAT__P04040
95,Q13439,3.01,plasma,5.7,liver,Q13439,Q13439__Q13439
96,Q6YHK3,3.01,plasma,4.7,liver,CD109,CD109__Q6YHK3
97,P00390,3.02,plasma,5.58,liver,GSR,GSR__P00390
98,P11226,3.02,plasma,5.94,liver,MBL2,MBL2__P11226
99,Q13740,3.02,plasma,4.8,liver,ALCAM,ALCAM__Q13740
100,Q6P179,3.03,plasma,4.04,liver,ERAP2,ERAP2__Q6P179
101,P55290,3.03,plasma,4.02,liver,CDH13,CDH13__P55290
102,P18206,3.03,plasma,6.05,liver,VCL,VCL__P18206
103,P11226,3.03,plasma,5.5,liver,MBL2,MBL2__P11226
104,P21333-2,3.04,plasma,6.05,liver,P21333-2,P21333-2__P21333-2
105,P18206,3.04,plasma,5.53,liver,VCL,VCL__P18206
106,A0A0A0MTS7,3.04,plasma,5.39,liver,TTN,TTN__A0A0A0MTS7
107,O95479,3.04,plasma,5.71,liver,H6PD,H6PD__O95479
108,O95497,3.04,plasma,3.97,liver,VNN1,VNN1__O95497
109,O95497,3.05,plasma,4.37,liver,VNN1,VNN1__O95497
110,P55290,3.05,plasma,4.41,liver,CDH13,CDH13__P55290
111,P04040,3.05,plasma,7.33,liver,CAT,CAT__P04040
112,Q6P387,3.05,plasma,4.07,liver,C16orf46,C16orf46__Q6P387
113,Q99969,3.05,plasma,4.45,liver,RARRES2,RARRES2__Q99969
114,Q9UNN8,3.06,plasma,3.84,liver,PROCR,PROCR__Q9UNN8
115,Q6P387,3.06,plasma,4.13,liver,C16orf46,C16orf46__Q6P387
116,A0A087X0S5,3.06,plasma,6.15,liver,COL6A1,COL6A1__A0A087X0S5
117,Q6P179,3.06,plasma,3.96,liver,ERAP2,ERAP2__Q6P179
118,Q9NZ08-2,3.07,plasma,5.2,liver,Q9NZ08-2,Q9NZ08-2__Q9NZ08-2
119,P39060,3.07,plasma,5.48,liver,COL18A1,COL18A1__P39060
120,P12814,3.07,plasma,5.97,liver,ACTN1,ACTN1__P12814
121,Q99969,3.07,plasma,4.45,liver,RARRES2,RARRES2__Q99969
122,P30041,3.07,plasma,6.93,liver,PRDX6,PRDX6__P30041
123,Q6P179,3.08,plasma,4.19,liver,ERAP2,ERAP2__Q6P179
124,Q8NBJ4,3.08,plasma,4.67,liver,GOLM1,GOLM1__Q8NBJ4
125,E9PLK3,3.08,plasma,5.16,liver,NPEPPS,NPEPPS__E9PLK3
126,A0A1W2PQB1,3.09,plasma,4.55,liver,A0A1W2PQB1,A0A1W2PQB1__A0A1W2PQB1
127,P55290,3.09,plasma,5.22,liver,CDH13,CDH13__P55290
128,Q6P179,3.09,plasma,4.17,liver,ERAP2,ERAP2__Q6P179
129,Q6P387,3.09,plasma,4.1,liver,C16orf46,C16orf46__Q6P387
130,P43121,3.09,plasma,4.06,liver,MCAM,MCAM__P43121
131,P12814,3.1,plasma,6.2,liver,ACTN1,ACTN1__P12814
132,P11279,3.1,plasma,5.76,liver,LAMP1,LAMP1__P11279
133,P43121,3.1,plasma,4.17,liver,MCAM,MCAM__P43121
134,Q6P387,3.1,plasma,4.13,liver,C16orf46,C16orf46__Q6P387
135,Q6P387,3.1,plasma,4.53,liver,C16orf46,C16orf46__Q6P387
136,P55290,3.1,plasma,4.13,liver,CDH13,CDH13__P55290
137,P35908,3.1,plasma,5.22,liver,KRT2,KRT2__P35908
138,J3KNB4,3.11,plasma,4.48,liver,CAMP,CAMP__J3KNB4
139,Q6P387,3.11,plasma,4.22,liver,C16orf46,C16orf46__Q6P387
140,P11226,3.11,plasma,5.99,liver,MBL2,MBL2__P11226
141,A0A0A0MTS7,3.11,plasma,5.83,liver,TTN,TTN__A0A0A0MTS7
142,P00390,3.11,plasma,5.87,liver,GSR,GSR__P00390
143,J3KNB4,3.12,plasma,4.82,liver,CAMP,CAMP__J3KNB4
144,Q13103,3.12,plasma,3.52,liver,SPP2,SPP2__Q13103
145,P55290,3.12,plasma,3.84,liver,CDH13,CDH13__P55290
146,Q14766,3.12,plasma,3.99,liver,Q14766,Q14766__Q14766
147,Q14766,3.12,plasma,4.2,liver,Q14766,Q14766__Q14766
148,A0A0C4DG49,3.12,plasma,4.34,liver,A0A0C4DG49,A0A0C4DG49__A0A0C4DG49
149,Q14697-2,3.12,plasma,6.45,liver,Q14697-2,Q14697-2__Q14697-2
150,A0A0C4DG49,3.12,plasma,4.47,liver,A0A0C4DG49,A0A0C4DG49__A0A0C4DG49
151,P30041,3.12,plasma,7.3,liver,PRDX6,PRDX6__P30041
152,P00558,3.12,plasma,6.44,liver,PGK1,PGK1__P00558
153,P43121,3.13,plasma,4.29,liver,MCAM,MCAM__P43121
154,J3KNB4,3.13,plasma,5.23,liver,CAMP,CAMP__J3KNB4
155,P33908,3.13,plasma,5.26,liver,MAN1A1,MAN1A1__P33908
156,P23141,3.13,plasma,7.16,liver,CES1,CES1__P23141
157,P43121,3.13,plasma,4.36,liver,MCAM,MCAM__P43121
158,P37802,3.14,plasma,5.94,liver,TAGLN2,TAGLN2__P37802
159,O95479,3.14,plasma,5.89,liver,H6PD,H6PD__O95479
160,Q92859,3.14,plasma,3.96,liver,NEO1,NEO1__Q92859
161,A0A087X0S5,3.14,plasma,6.02,liver,COL6A1,COL6A1__A0A087X0S5
162,P55290,3.14,plasma,4.04,liver,CDH13,CDH13__P55290
163,Q99969,3.14,plasma,4.26,liver,RARRES2,RARRES2__Q99969
164,Q6P387,3.14,plasma,3.96,liver,C16orf46,C16orf46__Q6P387
165,O95497,3.15,plasma,5.44,liver,VNN1,VNN1__O95497
166,Q99969,3.15,plasma,4.47,liver,RARRES2,RARRES2__Q99969
167,J3KNB4,3.15,plasma,3.35,liver,CAMP,CAMP__J3KNB4
168,Q6P387,3.15,plasma,4.11,liver,C16orf46,C16orf46__Q6P387
169,P07900,3.15,plasma,6.61,liver,HSP90AA1,HSP90AA1__P07900
170,P98160,3.15,plasma,5.54,liver,HSPG2,HSPG2__P98160
171,P37802,3.15,plasma,5.54,liver,TAGLN2,TAGLN2__P37802
172,Q92859,3.15,plasma,3.99,liver,NEO1,NEO1__Q92859
173,P62495,3.16,plasma,4.95,liver,P62495,P62495__P62495
174,Q9Y265,3.16,plasma,5.01,liver,RUVBL1,RUVBL1__Q9Y265
175,P11226,3.16,plasma,5.92,liver,MBL2,MBL2__P11226
176,P09486,3.16,plasma,4.72,liver,SPARC,SPARC__P09486
177,J3KPS3,3.16,plasma,7.15,liver,ALDOA,ALDOA__J3KPS3
178,A0A087X0S5,3.16,plasma,5.84,liver,COL6A1,COL6A1__A0A087X0S5
179,A0A0A0MTS7,3.16,plasma,5.34,liver,TTN,TTN__A0A0A0MTS7
180,Q9H4G4,3.16,plasma,4.71,liver,GLIPR2,GLIPR2__Q9H4G4
181,P21333-2,3.16,plasma,6.21,liver,P21333-2,P21333-2__P21333-2
182,E9PEP6,3.17,plasma,4.38,liver,E9PEP6,E9PEP6__E9PEP6
183,P08709,3.17,plasma,4.42,liver,P08709,P08709__P08709
184,P30101,3.17,plasma,6.48,liver,PDIA3,PDIA3__P30101
185,Q99969,3.17,plasma,4.51,liver,RARRES2,RARRES2__Q99969
186,P55290,3.17,plasma,4.44,liver,CDH13,CDH13__P55290
187,P00390,3.17,plasma,5.79,liver,GSR,GSR__P00390
188,P00338,3.17,plasma,6.79,liver,LDHA,LDHA__P00338
189,P11279,3.17,plasma,5.33,liver,LAMP1,LAMP1__P11279
190,Q6P387,3.17,plasma,4.19,liver,C16orf46,C16orf46__Q6P387
191,P14625,3.18,plasma,7.05,liver,HSP90B1,HSP90B1__P14625
192,P11279,3.18,plasma,5.44,liver,LAMP1,LAMP1__P11279
193,A0A087X0S5,3.18,plasma,6.15,liver,COL6A1,COL6A1__A0A087X0S5
194,P18206,3.18,plasma,5.58,liver,VCL,VCL__P18206
195,A0A087X0S5,3.18,plasma,5.98,liver,COL6A1,COL6A1__A0A087X0S5
196,P14625,3.18,plasma,7.02,liver,HSP90B1,HSP90B1__P14625
197,A0A087X0S5,3.18,plasma,6.26,liver,COL6A1,COL6A1__A0A087X0S5
198,Q8NBJ4,3.18,plasma,4.74,liver,GOLM1,GOLM1__Q8NBJ4
199,Q6P387,3.18,plasma,4.59,liver,C16orf46,C16orf46__Q6P387
200,P11226,3.18,plasma,5.28,liver,MBL2,MBL2__P11226
201,P55290,3.18,plasma,3.89,liver,CDH13,CDH13__P55290
202,Q6P387,3.18,plasma,4.32,liver,C16orf46,C16orf46__Q6P387
203,P11279,3.18,plasma,5.35,liver,LAMP1,LAMP1__P11279
204,P09486,3.19,plasma,4.89,liver,SPARC,SPARC__P09486
205,Q9NSD9,3.19,plasma,4.96,liver,FARSB,FARSB__Q9NSD9
206,P21333-2,3.19,plasma,6.06,liver,P21333-2,P21333-2__P21333-2
207,O95497,3.19,plasma,4.05,liver,VNN1,VNN1__O95497
208,Q6P387,3.19,plasma,3.94,liver,C16orf46,C16orf46__Q6P387
209,P21333-2,3.19,plasma,5.91,liver,P21333-2,P21333-2__P21333-2
210,A6XND0,3.19,plasma,4.78,liver,IGFBP3,IGFBP3__A6XND0
211,Q14126,3.19,plasma,4.51,liver,DSG2,DSG2__Q14126
212,P81605,3.19,plasma,5.43,liver,DCD,DCD__P81605
213,P37802,3.19,plasma,5.7,liver,TAGLN2,TAGLN2__P37802
214,P04040,3.19,plasma,7.27,liver,CAT,CAT__P04040
215,P18206,3.2,plasma,5.49,liver,VCL,VCL__P18206
216,P68371,3.2,plasma,6.56,liver,TUBB4B,TUBB4B__P68371
217,P04275,3.2,plasma,4.35,liver,VWF,VWF__P04275
218,A0A087X0S5,3.2,plasma,6.13,liver,COL6A1,COL6A1__A0A087X0S5
219,P12814,3.2,plasma,6.0,liver,ACTN1,ACTN1__P12814
220,P07355,3.2,plasma,6.29,liver,P07355,P07355__P07355
221,Q07075,3.2,plasma,5.02,liver,ENPEP,ENPEP__Q07075
222,Q9H4G4,3.2,plasma,4.54,liver,GLIPR2,GLIPR2__Q9H4G4
223,A0A087X0S5,3.2,plasma,5.83,liver,COL6A1,COL6A1__A0A087X0S5
224,J3KNB4,3.2,plasma,4.49,liver,CAMP,CAMP__J3KNB4
225,A0A087X0S5,3.2,plasma,6.02,liver,COL6A1,COL6A1__A0A087X0S5
226,P33908,3.21,plasma,5.17,liver,MAN1A1,MAN1A1__P33908
227,Q9Y5Y7,3.21,plasma,4.29,liver,LYVE1,LYVE1__Q9Y5Y7
228,Q6P179,3.21,plasma,4.34,liver,ERAP2,ERAP2__Q6P179
229,Q14697-2,3.21,plasma,6.45,liver,Q14697-2,Q14697-2__Q14697-2
230,P23141,3.21,plasma,7.04,liver,CES1,CES1__P23141
231,Q14697-2,3.21,plasma,6.37,liver,Q14697-2,Q14697-2__Q14697-2
232,P39060,3.21,plasma,5.94,liver,COL18A1,COL18A1__P39060
233,A0A087WWU8,3.21,plasma,5.92,liver,TPM3,TPM3__A0A087WWU8
234,Q6P387,3.21,plasma,4.25,liver,C16orf46,C16orf46__Q6P387
235,Q13439,3.22,plasma,5.11,liver,Q13439,Q13439__Q13439
236,A0A087X0S5,3.22,plasma,6.14,liver,COL6A1,COL6A1__A0A087X0S5
237,Q13103,3.22,plasma,3.56,liver,SPP2,SPP2__Q13103
238,Q14697-2,3.22,plasma,6.5,liver,Q14697-2,Q14697-2__Q14697-2
239,Q16270,3.23,plasma,4.44,liver,IGFBP7,IGFBP7__Q16270
240,O95497,3.23,plasma,4.82,liver,VNN1,VNN1__O95497
241,Q13740,3.23,plasma,4.93,liver,ALCAM,ALCAM__Q13740
242,A0A087X0S5,3.23,plasma,6.04,liver,COL6A1,COL6A1__A0A087X0S5
243,P55290,3.23,plasma,4.0,liver,CDH13,CDH13__P55290
244,P05106,3.23,plasma,4.59,liver,ITGB3,ITGB3__P05106
245,P55290,3.23,plasma,3.86,liver,CDH13,CDH13__P55290
246,Q9Y490,3.23,plasma,5.78,liver,TLN1,TLN1__Q9Y490
247,P07737,3.23,plasma,5.96,liver,PFN1,PFN1__P07737
248,Q13439,3.23,plasma,5.04,liver,Q13439,Q13439__Q13439
249,P00352,3.23,plasma,7.39,liver,ALDH1A1,ALDH1A1__P00352
250,Q9H4G4,3.24,plasma,4.84,liver,GLIPR2,GLIPR2__Q9H4G4
251,Q6P387,3.24,plasma,4.32,liver,C16orf46,C16orf46__Q6P387
252,Q99969,3.24,plasma,4.64,liver,RARRES2,RARRES2__Q99969
253,Q9UIQ6,3.24,plasma,3.98,liver,LNPEP,LNPEP__Q9UIQ6
254,Q14766,3.24,plasma,4.18,liver,Q14766,Q14766__Q14766
255,J3KNB4,3.24,plasma,4.89,liver,CAMP,CAMP__J3KNB4
256,Q9UBG0,3.24,plasma,4.31,liver,MRC2,MRC2__Q9UBG0
257,J3KNB4,3.24,plasma,4.81,liver,CAMP,CAMP__J3KNB4
258,P21333-2,3.25,plasma,6.1,liver,P21333-2,P21333-2__P21333-2
259,P13645,3.25,plasma,5.28,liver,KRT10,KRT10__P13645
260,P55290,3.25,plasma,3.99,liver,CDH13,CDH13__P55290
261,Q13103,3.25,plasma,4.35,liver,SPP2,SPP2__Q13103
262,P63104,3.25,plasma,6.65,liver,YWHAZ,YWHAZ__P63104
263,P33908,3.25,plasma,5.29,liver,MAN1A1,MAN1A1__P33908
264,P04275,3.25,plasma,3.84,liver,VWF,VWF__P04275
265,Q14697-2,3.25,plasma,6.43,liver,Q14697-2,Q14697-2__Q14697-2
266,P35527,3.25,plasma,4.96,liver,KRT9,KRT9__P35527
267,Q13439,3.25,plasma,5.05,liver,Q13439,Q13439__Q13439
268,P23141,3.26,plasma,7.19,liver,CES1,CES1__P23141
269,P05062,3.26,plasma,7.84,liver,P05062,P05062__P05062
270,P33908,3.26,plasma,5.13,liver,MAN1A1,MAN1A1__P33908
271,Q6P387,3.26,plasma,4.72,liver,C16orf46,C16orf46__Q6P387
272,E9PEP6,3.26,plasma,4.37,liver,E9PEP6,E9PEP6__E9PEP6
273,Q07075,3.26,plasma,4.73,liver,ENPEP,ENPEP__Q07075
274,J3KNB4,3.26,plasma,4.95,liver,CAMP,CAMP__J3KNB4
275,Q9H4G4,3.27,plasma,4.6,liver,GLIPR2,GLIPR2__Q9H4G4
276,P81605,3.27,plasma,5.45,liver,DCD,DCD__P81605
277,Q14766,3.27,plasma,4.68,liver,Q14766,Q14766__Q14766
278,A0A087X0S5,3.27,plasma,5.89,liver,COL6A1,COL6A1__A0A087X0S5
279,P00390,3.27,plasma,5.67,liver,GSR,GSR__P00390
280,Q6P387,3.27,plasma,4.46,liver,C16orf46,C16orf46__Q6P387
281,Q6UX71,3.28,plasma,4.39,liver,PLXDC2,PLXDC2__Q6UX71
282,Q6P387,3.28,plasma,4.02,liver,C16orf46,C16orf46__Q6P387
283,E9PEP6,3.28,plasma,4.48,liver,E9PEP6,E9PEP6__E9PEP6
284,Q6YHK3,3.28,plasma,4.86,liver,CD109,CD109__Q6YHK3
285,P19320,3.28,plasma,4.03,liver,VCAM1,VCAM1__P19320
286,Q16270,3.28,plasma,3.95,liver,IGFBP7,IGFBP7__Q16270
287,P81605,3.28,plasma,5.14,liver,DCD,DCD__P81605
288,P00390,3.28,plasma,5.79,liver,GSR,GSR__P00390
289,P13667,3.28,plasma,6.12,liver,P13667,P13667__P13667
290,P08709,3.28,plasma,4.51,liver,P08709,P08709__P08709
291,Q8NBJ4,3.28,plasma,4.04,liver,GOLM1,GOLM1__Q8NBJ4
292,P35908,3.29,plasma,5.28,liver,KRT2,KRT2__P35908
293,Q14697-2,3.29,plasma,6.42,liver,Q14697-2,Q14697-2__Q14697-2
294,J3KNB4,3.29,plasma,4.67,liver,CAMP,CAMP__J3KNB4
295,P68371,3.29,plasma,6.7,liver,TUBB4B,TUBB4B__P68371
296,Q16270,3.29,plasma,4.47,liver,IGFBP7,IGFBP7__Q16270
297,Q07075,3.29,plasma,5.94,liver,ENPEP,ENPEP__Q07075
298,P00338,3.29,plasma,6.93,liver,LDHA,LDHA__P00338
299,P06702,3.29,plasma,5.54,liver,S100A9,S100A9__P06702
300,Q16853,3.29,plasma,5.78,liver,AOC3,AOC3__Q16853
301,A0A0C4DG49,3.29,plasma,4.08,liver,A0A0C4DG49,A0A0C4DG49__A0A0C4DG49
302,P81605,3.29,plasma,5.01,liver,DCD,DCD__P81605
303,P00558,3.29,plasma,6.55,liver,PGK1,PGK1__P00558
304,P33908,3.29,plasma,5.11,liver,MAN1A1,MAN1A1__P33908
305,P21333-2,3.3,plasma,6.27,liver,P21333-2,P21333-2__P21333-2
306,P11279,3.3,plasma,5.78,liver,LAMP1,LAMP1__P11279
307,Q16270,3.3,plasma,3.27,liver,IGFBP7,IGFBP7__Q16270
308,P00390,3.3,plasma,5.73,liver,GSR,GSR__P00390
309,Q9Y490,3.3,plasma,5.77,liver,TLN1,TLN1__Q9Y490
310,A0A087X0S5,3.3,plasma,6.12,liver,COL6A1,COL6A1__A0A087X0S5
311,Q13439,3.3,plasma,5.76,liver,Q13439,Q13439__Q13439
312,P55290,3.3,plasma,3.98,liver,CDH13,CDH13__P55290
313,P11279,3.3,plasma,5.54,liver,LAMP1,LAMP1__P11279
314,A0A087X0S5,3.3,plasma,6.25,liver,COL6A1,COL6A1__A0A087X0S5
315,Q9UBG0,3.3,plasma,4.35,liver,MRC2,MRC2__Q9UBG0
316,P14625,3.3,plasma,7.06,liver,HSP90B1,HSP90B1__P14625
317,P04040,3.3,plasma,7.27,liver,CAT,CAT__P04040
318,P12111,3.3,plasma,6.42,liver,COL6A3,COL6A3__P12111
319,Q6UX71,3.3,plasma,4.19,liver,PLXDC2,PLXDC2__Q6UX71
320,Q13439,3.31,plasma,5.04,liver,Q13439,Q13439__Q13439
321,Q6UX71,3.31,plasma,3.8,liver,PLXDC2,PLXDC2__Q6UX71
322,P60842,3.31,plasma,5.84,liver,EIF4A1,EIF4A1__P60842
323,Q6UX71,3.31,plasma,4.68,liver,PLXDC2,PLXDC2__Q6UX71
324,E9PEP6,3.31,plasma,4.48,liver,E9PEP6,E9PEP6__E9PEP6
325,P11226,3.31,plasma,5.48,liver,MBL2,MBL2__P11226
326,P04275,3.31,plasma,4.05,liver,VWF,VWF__P04275
327,P98160,3.31,plasma,5.45,liver,HSPG2,HSPG2__P98160
328,P33908,3.31,plasma,5.21,liver,MAN1A1,MAN1A1__P33908
329,Q9NZ08-2,3.31,plasma,5.15,liver,Q9NZ08-2,Q9NZ08-2__Q9NZ08-2
330,Q14697-2,3.31,plasma,6.39,liver,Q14697-2,Q14697-2__Q14697-2
331,P11142,3.31,plasma,6.56,liver,HSPA8,HSPA8__P11142
332,J3KNB4,3.32,plasma,4.42,liver,CAMP,CAMP__J3KNB4
333,Q6P387,3.32,plasma,3.93,liver,C16orf46,C16orf46__Q6P387
334,P11279,3.32,plasma,5.38,liver,LAMP1,LAMP1__P11279
335,P07237,3.32,plasma,7.05,liver,P07237,P07237__P07237
336,P07900,3.32,plasma,6.46,liver,HSP90AA1,HSP90AA1__P07900
337,P60660,3.32,plasma,6.26,liver,P60660,P60660__P60660
338,Q15942,3.32,plasma,5.27,liver,ZYX,ZYX__Q15942
339,Q16270,3.32,plasma,4.65,liver,IGFBP7,IGFBP7__Q16270
340,O95497,3.32,plasma,3.84,liver,VNN1,VNN1__O95497
341,Q6UX71,3.32,plasma,4.32,liver,PLXDC2,PLXDC2__Q6UX71
342,E9PEP6,3.32,plasma,4.43,liver,E9PEP6,E9PEP6__E9PEP6
343,P00352,3.32,plasma,7.3,liver,ALDH1A1,ALDH1A1__P00352
344,Q07075,3.32,plasma,4.96,liver,ENPEP,ENPEP__Q07075
345,Q99969,3.32,plasma,4.37,liver,RARRES2,RARRES2__Q99969
346,P81605,3.32,plasma,5.09,liver,DCD,DCD__P81605
347,P33908,3.32,plasma,5.13,liver,MAN1A1,MAN1A1__P33908
348,P35908,3.32,plasma,5.65,liver,KRT2,KRT2__P35908
349,P21796,3.32,plasma,6.45,liver,VDAC1,VDAC1__P21796
350,P04275,3.33,plasma,3.78,liver,VWF,VWF__P04275
351,A0A087X0S5,3.33,plasma,6.1,liver,COL6A1,COL6A1__A0A087X0S5
352,P33908,3.33,plasma,5.27,liver,MAN1A1,MAN1A1__P33908
353,P33908,3.33,plasma,5.04,liver,MAN1A1,MAN1A1__P33908
354,Q07075,3.33,plasma,4.72,liver,ENPEP,ENPEP__Q07075
